content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,rank
content_4e95a8389562,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,informational,3130.0,20522.0,,gemini-2.5-flash,2,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,180,91-180,4,8,0-30,2000-3500,15000-25000,50.0,5.0,0.0,0.0,0.0,low,page_1,flat,,29.5
content_4592e7c0daaf,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,informational,2943.0,20197.0,,gpt-4o-mini,2,1,2,2,2,0,0,0,1,2,0,0,1,0,0,0,250,181-365,5,20,0-30,2000-3500,15000-25000,50.0,98.0,0.0,0.0,0.0,low,deep,flat,,29.5
content_841cd12bb30f,client_d4735e3a26,,,,,feedly article,,970.0,6789.0,,gpt-4o-mini,2,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,294,181-365,5,20,0-30,<1000,<8000,50.0,0.5,0.0,0.0,0.0,low,top_3,new,,29.5
content_a9db78eea608,client_d4735e3a26,,,,,feedly article,,957.0,6758.0,,gpt-4o-mini,2,1,1,1,1,0,0,1,2,1,1,0,0,1,1,1,296,181-365,5,20,0-30,<1000,<8000,50.0,2.0,0.0,100.0,0.0,low,top_3,stable,0.0,29.5
content_6fbfc9c2c221,client_d4735e3a26,,,,,feedly article,,654.0,4941.0,,gpt-4o-mini,2,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,316,181-365,5,20,0-30,<1000,<8000,50.0,1.5,0.0,0.0,0.0,low,top_3,new,,29.5
content_e1f12ff8ceed,client_d4735e3a26,,,,,feedly article,,950.0,6956.0,,gpt-4o-mini,2,1,1,1,1,0,0,1,2,1,1,0,0,1,1,1,294,181-365,5,20,0-30,<1000,<8000,50.0,4.0,0.0,100.0,0.0,low,page_1,stable,0.0,29.5
content_0fced6cf2b59,client_d4735e3a26,,,,,feedly article,,754.0,5858.0,,gpt-4o-mini,2,1,1,1,1,0,0,1,2,1,2,1,1,0,0,0,315,181-365,5,20,0-30,<1000,<8000,50.0,6.0,0.0,100.0,0.0,low,page_1,new,,29.5
content_1c22b6467154,client_d4735e3a26,,,,,feedly article,,819.0,5675.0,,gpt-4o-mini,9,4,10,7,6,1,1,3,2,3,1,0,0,0,0,0,279,181-365,5,20,0-30,<1000,<8000,44.44,0.3,14.29,30.0,14.29,low,top_3,new,,45.0
content_81353b21b26a,client_d4735e3a26,,,,,feedly article,,936.0,7148.0,,gpt-4o-mini,5,2,9,8,8,1,0,4,5,6,0,0,0,2,1,6,309,181-365,5,20,0-30,<1000,<8000,40.0,3.0,12.5,44.44,0.0,low,top_3,down,-100.0,47.5
content_20785f2562c4,client_d4735e3a26,,,,,feedly article,,970.0,6533.0,,gpt-4o-mini,5,2,2,2,2,0,0,0,5,2,1,0,0,0,0,0,297,181-365,5,20,0-30,<1000,<8000,40.0,3.2,0.0,0.0,0.0,low,page_1,new,,47.5
content_ecc2c9d0ddbe,client_d4735e3a26,,,,,feedly article,,830.0,6109.0,,gpt-4o-mini,5,2,2,2,2,0,0,0,4,1,1,0,0,0,0,0,295,181-365,5,20,0-30,<1000,<8000,40.0,3.6,0.0,0.0,0.0,low,page_1,new,,47.5
content_b2513a6b8742,client_d4735e3a26,,,,,feedly article,,968.0,6803.0,,gpt-4o-mini,5,2,2,2,2,0,0,0,5,2,1,0,0,1,0,0,287,181-365,5,20,0-30,<1000,<8000,40.0,3.4,0.0,0.0,0.0,low,page_1,stable,0.0,47.5
content_a020a06e9c14,client_d4735e3a26,,,,,feedly article,,734.0,5439.0,,gpt-4o-mini,3,1,2,1,1,0,0,0,3,1,1,0,0,0,0,0,314,181-365,5,20,0-30,<1000,<8000,33.33,16.3,0.0,0.0,0.0,low,striking,new,,73.0
content_eb6e97f88ca2,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,informational,2403.0,15809.0,,gemini-2.5-flash,3,1,2,1,1,0,0,0,3,1,1,0,0,1,0,0,144,91-180,4,20,0-30,2000-3500,15000-25000,33.33,0.7,0.0,0.0,0.0,low,top_3,stable,0.0,73.0
content_5303b57911a1,client_9f14025af0,10.0,0.33,MEDIUM,0.0,keyword article,informational,1139.0,7472.0,,gpt-4o-mini,3,1,4,2,2,0,0,0,2,2,1,0,1,2,1,1,335,181-365,5,151,91-180,1000-2000,<8000,33.33,2.3,0.0,0.0,0.0,low,top_3,down,-50.0,73.0
content_28e2971a692a,client_d4735e3a26,,,,,keyword article,,834.0,6165.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,305,181-365,5,211,181+,<1000,<8000,33.33,0.0,0.0,0.0,0.0,low,top_3,new,,73.0
content_77c30aa8260f,client_8527a891e2,0.0,0.0,LOW,0.0,keyword article,informational,1987.0,12355.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,0,0,0,0,0,1,271,181-365,5,20,0-30,1000-2000,8000-15000,33.33,25.0,0.0,0.0,0.0,low,page_3_5,flat,,73.0
content_e26253556458,client_d4735e3a26,,,,,feedly article,,716.0,5082.0,,gpt-4o-mini,3,1,2,2,2,0,0,0,2,2,3,1,1,0,0,0,316,181-365,5,20,0-30,<1000,<8000,33.33,1.0,0.0,0.0,0.0,low,top_3,new,,73.0
content_4a8400975016,client_d4735e3a26,,,,,feedly article,,712.0,5125.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,2,0,0,0,0,0,279,181-365,5,20,0-30,<1000,<8000,33.33,0.7,0.0,0.0,0.0,low,top_3,new,,73.0
content_922aead90c82,client_d4735e3a26,,,,,feedly article,,947.0,6871.0,,gpt-4o-mini,3,1,2,2,2,0,0,0,2,2,3,1,2,0,0,0,303,181-365,5,20,0-30,<1000,<8000,33.33,4.0,0.0,0.0,0.0,low,page_1,new,,73.0
content_62bc2e4ceea3,client_d4735e3a26,,,,,feedly article,,841.0,6032.0,,gpt-4o-mini,6,2,2,2,2,0,0,0,5,2,3,0,0,0,0,0,312,181-365,5,20,0-30,<1000,<8000,33.33,3.0,0.0,0.0,0.0,low,top_3,new,,73.0
content_472ce7ae14c0,client_d4735e3a26,,,,,feedly article,,684.0,5156.0,,gpt-4o-mini,3,1,2,2,1,0,0,0,3,1,0,0,0,2,1,2,300,181-365,5,20,0-30,<1000,<8000,33.33,0.3,0.0,0.0,0.0,low,top_3,down,-100.0,73.0
content_dfce82404813,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,informational,2781.0,19347.0,google,gemini-2.5-flash,3,1,2,1,1,0,0,0,3,1,0,0,0,1,0,0,131,91-180,4,8,0-30,2000-3500,15000-25000,33.33,9.0,0.0,0.0,0.0,low,page_1,down,-100.0,73.0
content_d28d84af56c2,client_d4735e3a26,,,,,keyword article,,927.0,6630.0,,gpt-4o-mini,3,1,1,1,1,1,0,1,1,1,3,1,1,0,0,0,301,181-365,5,211,181+,<1000,<8000,33.33,7.0,100.0,100.0,0.0,low,page_1,new,,73.0
content_d2b1c270cc16,client_d4735e3a26,,,,,feedly article,,788.0,5884.0,,gpt-4o-mini,3,1,8,7,7,0,0,0,3,7,0,0,6,0,0,0,302,181-365,5,20,0-30,<1000,<8000,33.33,6.7,0.0,0.0,0.0,low,page_1,flat,,73.0
content_b2a03babf861,client_d4735e3a26,,,,,feedly article,,922.0,6389.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,1,0,0,0,0,0,299,181-365,5,20,0-30,<1000,<8000,33.33,3.7,0.0,0.0,0.0,low,page_1,new,,73.0
content_1932cbf0ba4b,client_d4735e3a26,,,,,feedly article,,798.0,5277.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,1,0,0,0,0,0,316,181-365,5,20,0-30,<1000,<8000,33.33,16.7,0.0,0.0,0.0,low,striking,new,,73.0
content_7cfb89969aa6,client_d4735e3a26,,,,,feedly article,,790.0,5643.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,279,181-365,5,20,0-30,<1000,<8000,33.33,1.7,0.0,0.0,0.0,low,top_3,new,,73.0
content_a1c65f070bad,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,informational,2566.0,17554.0,google,gemini-2.5-flash,3,1,1,1,1,0,0,0,3,1,1,0,0,1,1,1,116,91-180,4,8,0-30,2000-3500,15000-25000,33.33,5.7,0.0,0.0,0.0,low,page_1,stable,0.0,73.0
